GEOID,label,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031020602.00,1.00,20602.00,206.02,Census Tract 206.02,42.00,-87.69,-87.69,-87.70,42.00,42.00,0.00,0.03,0.05,0.03,0.11,0.06,0.02,0.08,0.10,0.26,0.16,0.10,0.00,0.09,0.76,0.35,0.00,0.00,0.60,0.10,0.29,0.17,0.34,0.07,0.09,0.00,0.53,0.06,0.44,0.29,0.07,0.08,0.44,0.11,0.17,0.53,0.10,0.00,0.25,0.20,519.00,748.00,33.20,50048.00,66621.00,1531.00,3.50,6.40,5.40,329000.00,2264.00,789.00,1133.00,4619.00,2080.00,2044.00,1388.00,4637.00,120.70,32.20,1153.00,982.00
17031020701.00,0.00,20701.00,207.01,Census Tract 207.01,41.99,-87.70,-87.70,-87.71,41.99,41.98,0.00,0.09,0.07,0.03,0.13,0.07,0.07,0.04,0.05,0.27,0.09,0.07,0.04,0.03,0.95,0.72,0.00,0.01,0.42,0.07,0.35,0.06,0.38,0.10,0.01,0.02,0.69,0.09,0.28,0.22,0.07,0.02,0.48,0.10,0.21,0.74,0.05,0.00,0.16,0.13,147.00,266.00,33.30,76635.00,99441.00,749.00,8.40,11.10,5.40,364200.00,2337.00,783.00,1373.00,1729.00,621.00,546.00,615.00,1729.00,86.70,40.40,1186.00,1054.00
17031020702.00,0.00,20702.00,207.02,Census Tract 207.02,41.99,-87.70,-87.70,-87.71,42.00,41.99,0.00,0.07,0.06,0.06,0.10,0.12,0.01,0.02,0.11,0.24,0.10,0.11,0.01,0.06,0.86,0.44,0.00,0.00,0.65,0.10,0.40,0.10,0.18,0.17,0.05,0.06,0.64,0.07,0.37,0.28,0.10,0.13,0.29,0.11,0.13,0.57,0.09,0.00,0.19,0.22,668.00,1336.00,28.20,44990.00,56773.00,2575.00,0.00,7.60,5.10,228600.00,1679.00,533.00,1143.00,7655.00,4010.00,3784.00,2321.00,7843.00,99.10,32.00,1373.00,761.00
17031020801.00,0.00,20801.00,208.01,Census Tract 208.01,41.99,-87.69,-87.69,-87.70,41.99,41.98,0.01,0.03,0.09,0.02,0.13,0.08,0.02,0.13,0.07,0.22,0.11,0.08,0.02,0.04,0.87,0.54,0.00,0.00,0.62,0.13,0.37,0.07,0.27,0.14,0.06,0.00,0.53,0.06,0.46,0.35,0.20,0.07,0.32,0.11,0.17,0.70,0.02,0.00,0.23,0.27,249.00,764.00,36.60,50230.00,69665.00,2318.00,0.00,9.00,5.00,345200.00,1650.00,895.00,1072.00,5206.00,2346.00,2234.00,1999.00,5211.00,108.10,37.40,1373.00,1054.00
17031020802.00,0.00,20802.00,208.02,Census Tract 208.02,41.99,-87.69,-87.69,-87.70,42.00,41.99,0.00,0.00,0.06,0.05,0.12,0.11,0.01,0.11,0.05,0.20,0.23,0.05,0.01,0.04,0.75,0.36,0.00,0.00,0.61,0.08,0.41,0.11,0.22,0.12,0.10,0.03,0.77,0.01,0.48,0.34,0.16,0.05,0.33,0.07,0.11,0.36,0.08,0.02,0.46,0.13,547.00,1115.00,31.20,47207.00,70638.00,2471.00,3.60,8.30,5.20,268300.00,1714.00,801.00,1069.00,7832.00,4478.00,4442.00,2222.00,7857.00,115.10,34.40,1373.00,1054.00
17031020901.00,1.00,20901.00,209.01,Census Tract 209.01,42.00,-87.69,-87.68,-87.69,42.00,41.99,0.00,0.05,0.07,0.01,0.12,0.13,0.01,0.04,0.10,0.27,0.14,0.08,0.00,0.08,0.84,0.46,0.00,0.00,0.72,0.13,0.46,0.21,0.23,0.07,0.05,0.04,0.64,0.01,0.52,0.47,0.07,0.08,0.40,0.09,0.10,0.45,0.21,0.00,0.22,0.31,592.00,924.00,37.30,42942.00,54293.00,2214.00,0.00,14.20,4.70,188500.00,1712.00,521.00,1153.00,5787.00,2656.00,2582.00,1903.00,5807.00,96.50,31.40,1160.00,940.00
17031020902.00,0.00,20902.00,209.02,Census Tract 209.02,41.99,-87.68,-87.68,-87.68,42.00,41.99,0.00,0.03,0.10,0.02,0.13,0.06,0.00,0.06,0.09,0.29,0.16,0.05,0.02,0.10,0.81,0.46,0.00,0.00,0.44,0.07,0.33,0.29,0.18,0.05,0.05,0.03,0.51,0.18,0.45,0.42,0.14,0.06,0.32,0.09,0.19,0.61,0.11,0.00,0.22,0.17,301.00,522.00,35.70,36660.00,48780.00,1714.00,0.90,9.50,4.40,92800.00,1267.00,458.00,940.00,3945.00,2290.00,2167.00,1589.00,4474.00,82.80,36.60,1160.00,858.00
17031030101.00,1.00,30101.00,301.01,Census Tract 301.01,41.99,-87.66,-87.65,-87.66,41.99,41.99,0.00,0.03,0.07,0.00,0.12,0.04,0.01,0.10,0.16,0.24,0.15,0.07,0.02,0.08,0.80,0.55,0.00,0.00,0.66,0.21,0.29,0.37,0.15,0.00,0.01,0.05,0.63,0.14,0.55,0.42,0.03,0.03,0.55,0.21,0.21,0.69,0.21,0.01,0.05,0.23,103.00,194.00,35.30,43167.00,58457.00,2528.00,3.30,16.20,3.60,220300.00,1753.00,1111.00,892.00,3530.00,1222.00,1212.00,2124.00,3549.00,112.30,44.50,992.00,791.00
17031030102.00,1.00,30102.00,301.02,Census Tract 301.02,41.99,-87.66,-87.65,-87.66,42.00,41.99,0.00,0.00,0.05,0.02,0.09,0.07,0.03,0.12,0.13,0.25,0.17,0.07,0.00,0.09,0.84,0.74,0.00,0.00,0.61,0.19,0.44,0.52,0.06,0.00,0.03,0.04,0.73,0.11,0.59,0.52,0.02,0.03,0.50,0.28,0.23,0.61,0.18,0.01,0.10,0.11,53.00,50.00,35.30,43750.00,58035.00,2141.00,1.00,5.60,3.50,172100.00,1529.00,1102.00,901.00,2698.00,1028.00,985.00,1813.00,2766.00,99.60,40.50,992.00,791.00
17031030103.00,1.00,30103.00,301.03,Census Tract 301.03,42.00,-87.66,-87.65,-87.66,42.00,41.99,0.00,0.00,0.05,0.00,0.13,0.04,0.03,0.03,0.14,0.38,0.13,0.05,0.02,0.14,0.90,0.81,0.00,0.02,0.75,0.22,0.47,0.43,0.08,0.00,0.03,0.00,0.66,0.06,0.69,0.75,0.01,0.03,0.69,0.43,0.07,0.57,0.18,0.00,0.19,0.13,51.00,25.00,33.00,49233.00,62904.00,1190.00,0.00,15.50,3.30,157900.00,1555.00,612.00,975.00,1559.00,688.00,661.00,949.00,2217.00,77.80,28.40,1052.00,706.00
17031030104.00,1.00,30104.00,301.04,Census Tract 301.04,42.00,-87.66,-87.65,-87.66,42.00,41.99,0.01,0.01,0.02,0.01,0.12,0.05,0.03,0.07,0.12,0.37,0.14,0.05,0.02,0.12,0.85,0.76,0.00,0.00,0.61,0.15,0.44,0.52,0.09,0.02,0.00,0.02,0.57,0.08,0.79,0.78,0.06,0.02,0.53,0.35,0.12,0.64,0.10,0.00,0.18,0.14,4.00,63.00,31.40,38871.00,50398.00,1149.00,0.00,15.00,3.20,118700.00,1554.00,843.00,943.00,1684.00,1016.00,926.00,1016.00,3375.00,78.90,21.50,979.00,706.00
17031030200.00,0.00,30200.00,302.00,Census Tract 302,41.99,-87.67,-87.66,-87.67,42.00,41.99,0.00,0.02,0.03,0.02,0.08,0.04,0.04,0.11,0.17,0.26,0.11,0.09,0.05,0.09,0.95,0.82,0.00,0.00,0.51,0.10,0.37,0.23,0.17,0.04,0.01,0.00,0.76,0.07,0.53,0.45,0.03,0.05,0.61,0.37,0.19,0.82,0.06,0.00,0.05,0.11,239.00,324.00,39.10,64089.00,91870.00,2753.00,2.90,13.30,5.10,299000.00,2250.00,860.00,1052.00,5043.00,539.00,442.00,2461.00,5103.00,100.40,43.40,1375.00,706.00
17031030300.00,0.00,30300.00,303.00,Census Tract 303,41.99,-87.67,-87.67,-87.68,42.00,41.99,0.00,0.01,0.06,0.02,0.16,0.06,0.03,0.06,0.12,0.19,0.15,0.12,0.02,0.12,0.82,0.46,0.00,0.00,0.69,0.15,0.40,0.28,0.23,0.03,0.06,0.01,0.71,0.13,0.46,0.45,0.13,0.05,0.34,0.19,0.13,0.71,0.06,0.01,0.16,0.39,152.00,504.00,35.80,37868.00,55910.00,1529.00,0.00,3.70,4.30,280000.00,1688.00,570.00,923.00,3315.00,1372.00,1353.00,1459.00,3315.00,99.80,37.10,1375.00,706.00
17031030400.00,1.00,30400.00,304.00,Census Tract 304,41.99,-87.67,-87.67,-87.68,41.99,41.98,0.00,0.02,0.13,0.02,0.07,0.02,0.04,0.08,0.17,0.23,0.13,0.08,0.01,0.15,0.86,0.60,0.00,0.01,0.58,0.09,0.37,0.22,0.20,0.04,0.01,0.01,0.83,0.10,0.52,0.44,0.04,0.06,0.55,0.23,0.17,0.74,0.11,0.01,0.07,0.30,179.00,214.00,38.60,45850.00,70200.00,1405.00,2.60,5.60,4.40,310800.00,1938.00,690.00,858.00,2708.00,819.00,778.00,1313.00,2708.00,101.50,37.30,1375.00,923.00
17031030500.00,0.00,30500.00,305.00,Census Tract 305,41.99,-87.66,-87.66,-87.67,41.99,41.98,0.00,0.03,0.10,0.01,0.09,0.02,0.03,0.04,0.19,0.24,0.16,0.05,0.05,0.02,0.95,0.77,0.00,0.00,0.53,0.13,0.42,0.24,0.19,0.04,0.01,0.01,0.79,0.06,0.55,0.46,0.05,0.05,0.57,0.36,0.13,0.82,0.04,0.00,0.07,0.25,282.00,544.00,38.00,79587.00,103819.00,3235.00,3.70,9.40,5.00,325700.00,2333.00,769.00,1375.00,6443.00,1466.00,1327.00,2864.00,6570.00,102.50,37.30,1313.00,791.00
17031030601.00,1.00,30601.00,306.01,Census Tract 306.01,41.99,-87.65,-87.65,-87.66,41.99,41.99,0.02,0.02,0.04,0.02,0.04,0.07,0.04,0.11,0.18,0.18,0.19,0.08,0.02,0.08,0.84,0.53,0.00,0.01,0.70,0.21,0.41,0.45,0.11,0.01,0.01,0.13,0.64,0.16,0.48,0.44,0.08,0.07,0.48,0.23,0.22,0.70,0.18,0.00,0.10,0.19,288.00,300.00,39.40,39015.00,53155.00,2175.00,5.20,6.20,3.20,170700.00,1778.00,844.00,949.00,3870.00,1408.00,1371.00,2014.00,4066.00,119.30,40.00,992.00,791.00
17031030603.00,0.00,30603.00,306.03,Census Tract 306.03,41.99,-87.66,-87.65,-87.66,41.99,41.98,0.00,0.01,0.03,0.01,0.12,0.10,0.01,0.06,0.17,0.26,0.17,0.03,0.04,0.16,0.78,0.51,0.00,0.00,0.94,0.16,0.61,0.56,0.10,0.00,0.01,0.07,0.83,0.06,0.59,0.55,0.03,0.04,0.48,0.27,0.10,0.48,0.34,0.03,0.12,0.14,47.00,189.00,36.70,29088.00,48106.00,1496.00,0.00,6.70,2.60,252600.00,1727.00,0.00,791.00,2023.00,815.00,815.00,1329.00,2023.00,102.10,34.10,1098.00,793.00
17031030604.00,1.00,30604.00,306.04,Census Tract 306.04,41.99,-87.65,-87.65,-87.66,41.99,41.98,0.00,0.02,0.04,0.05,0.09,0.03,0.02,0.11,0.18,0.29,0.14,0.01,0.03,0.12,0.90,0.69,0.00,0.00,0.75,0.22,0.42,0.52,0.07,0.01,0.02,0.05,0.65,0.22,0.54,0.40,0.01,0.04,0.53,0.27,0.23,0.47,0.23,0.00,0.26,0.06,250.00,78.00,38.50,30486.00,48934.00,2405.00,7.00,10.00,3.20,164300.00,1654.00,605.00,992.00,3220.00,1323.00,1306.00,2008.00,3225.00,119.70,41.10,1098.00,791.00
17031030701.00,0.00,30701.00,307.01,Census Tract 307.01,41.98,-87.66,-87.65,-87.66,41.99,41.98,0.00,0.00,0.11,0.04,0.11,0.07,0.03,0.03,0.14,0.21,0.21,0.06,0.00,0.11,0.83,0.61,0.00,0.00,0.81,0.19,0.57,0.48,0.09,0.01,0.02,0.03,0.82,0.05,0.69,0.55,0.10,0.05,0.41,0.30,0.16,0.56,0.24,0.01,0.16,0.10,84.00,60.00,38.90,36467.00,45139.00,968.00,0.00,5.20,2.40,153300.00,1212.00,0.00,831.00,1405.00,471.00,470.00,898.00,1597.00,129.50,37.60,1313.00,791.00
